Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YDL053C;1;NA;Affinity Capture-MS(16554755);1;0;0;NA;1
S;YDL057W;NA;NA;NA;NA;NA;0;NA;0
S;YDL062W;NA;NA;NA;NA;NA;0;NA;0
S;YDL067C;NA;NA;NA;NA;NA;0;NA;0
S;YDL068W;NA;NA;NA;NA;NA;0;NA;0
S;YDL069C;0;NA;NA;NA;NA;NA;NA;0
S;YDL071C;NA;NA;NA;NA;NA;0;NA;0
S;YDL073W;0;NA;NA;NA;NA;0;NA;0
S;YDL076C;0;NA;NA;NA;NA;0;NA;0
S;YDL077C;NA;NA;Affinity Capture-MS(22940862);1;1;0;NA;1
S;YDL085C-A;NA;NA;NA;NA;NA;0;NA;0
S;YDL086W;NA;NA;NA;NA;NA;0;NA;0
S;YDL087C;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-MS(29051543)";2;1;0;NA;1
S;YDL089W;0;NA;Two-hybrid(10688190);1;1;0;NA;1
S;YDL092W;NA;NA;PCA(18467557);1;0;0;NA;0
S;YDL094C;NA;NA;NA;NA;NA;0;NA;0
S;YDL096C;NA;NA;NA;NA;NA;0;NA;0
S;YDL097C;0;NA;"Affinity Capture-MS(14759368);Affinity Capture-MS(22940862)";2;1;0;NA;1
S;YDL100C;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-Western(16260785);Co-crystal Structure(19407384);Co-crystal Structure(19675567);Co-crystal Structure(19706470);Co-crystal Structure(19956640);Co-crystal Structure(20015340);Co-crystal Structure(21719644);Co-crystal Structure(22547793);FRET(28973888);Reconstituted Complex(20015340);Reconstituted Complex(21719644);Reconstituted Complex(22124326);Reconstituted Complex(22190685);Reconstituted Complex(23610396);Two-hybrid(11283351);Two-hybrid(16260785);Two-hybrid(18719252)";18;13;0;NA;1
S;YDL103C;0;NA;NA;NA;NA;0;NA;0
S;YDL105W;0;NA;NA;NA;NA;0;NA;0
S;YDL107W;0;NA;NA;NA;NA;0;NA;0
S;YDL110C;NA;NA;NA;NA;NA;0;NA;0
S;YDL111C;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-MS(16829593)";2;1;1;NA;1
S;YDL112W;0;NA;Affinity Capture-MS(14759368);1;1;0;NA;1
S;YDL114W-A;NA;NA;NA;NA;NA;0;NA;0
S;YDL116W;0;NA;"Affinity Capture-MS(11805837);Affinity Capture-MS(12543930);Affinity Capture-MS(15741174);Affinity Capture-MS(18046405);Affinity Capture-MS(22940862);Reconstituted Complex(15741174);Two-hybrid(11283351)";7;4;0;NA;1
S;YDL118W;NA;NA;NA;NA;NA;0;NA;0
S;YDL120W;0;NA;"Co-crystal Structure(22051511);Reconstituted Complex(12022884);Reconstituted Complex(19491103);Reconstituted Complex(22051511);Reconstituted Complex(27026703)";5;5;0;NA;1
