Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Protein abundance,Bm8,0.1,-0.11699185004074976,0.0002931728671606815
ADS,All duplicates,Protein abundance,Bm8,0.2,-0.11611532192339034,0.0003687937153854535
ADS,All duplicates,Protein abundance,Bm8,0.3,-0.11546984515077424,0.00043883591112396067
ADS,All duplicates,Protein abundance,Bm8,0.4,-0.11796291768541152,0.0002299060761192148
ADS,All duplicates,Protein abundance,Bm8,0.5,-0.11723512632436837,0.00018278349738120412
ADS,All duplicates,Protein abundance,Bm8,0.6,-0.11689486552567234,0.00024867339675522436
ADS,All duplicates,Protein abundance,Bm8,0.7,-0.11040179299103503,0.0005477834645021
ADS,All duplicates,Protein abundance,Bm9,-0.4,-0.11845517522412384,0.000166464009631773
ADS,All duplicates,Protein abundance,Bm9,-0.3,-0.1135933170334148,0.0002899810622893
ADS,All duplicates,Protein abundance,Bm9,-0.2,-0.11281662591687036,0.0004024752447513667
ADS,All duplicates,Protein abundance,Bm9,-0.1,-0.1135684596577017,0.0005601508162949668
ADS,All duplicates,Protein abundance,Bm9,0.0,-0.11404360228198857,0.000545076068583865
ADS,All duplicates,Protein abundance,Bm9,0.1,-0.11263651181744089,0.00035582493579496666
ADS,All duplicates,Protein abundance,Bm9,0.2,-0.112481662591687,0.0007337089745790481
ADS,All duplicates,Protein abundance,Bm9,0.3,-0.1188651181744091,0.00019525863612963185
ADS,All duplicates,Protein abundance,Bm9,0.4,-0.11721026894865523,0.000343458964912436
ADS,All duplicates,Protein abundance,Bm9,0.5,-0.11283333333333327,0.0004391361213613333
ADS,All duplicates,Protein abundance,Bm9,0.6,-0.11057497962510186,0.0005049298371979
ADS,All duplicates,Protein abundance,Bm9,0.7,-0.10972697636511813,0.0011151738725049508
ADS,All duplicates,Transcription rate,Bm05,-0.4,-0.24127995110024447,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.3,-0.2635228198859005,9.992007221626409e-16
